"id","clip","speaker","rough","casual","honest","proper","easygoing","fastspeaking","clip_rank","clip_score","speaker_gender","duration","num_of_words","wordspersec","num_of_syllables","syllablespersec","npviV_all","npviV_nophrasefinal","pitchpvi","f0var","st_pitchpvi","stvar","st_pitchpvi_new","stvar_new","npviV_nophrasefinal_median","npviV_all_median","age","race","gender","income","education","instructions_correct","previous_study","fair","enjoy"
1269,"F1_01","F1","4","5","4","4","2","6",15,0.016965039,"female",2.319,10,4.312203536,14,6.03708495,43.90344513,45.89539889,23.26747439,110.437961,4.46193596,6.375852742,4.188741487,5.796322358,52.10389522,48.98347357,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F1_02","F1","4","4","4","4","2","3",35,0.038585534,"female",1.584,7,4.419191919,8,5.050505051,30.18967261,31.56073889,22.02418866,22.63053465,4.27423027,1.759029746,4.27028458,1.834185936,20.82690423,21.96327489,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F1_03","F1","4","2","4","4","2","4",32,0.036892293,"female",2.334,7,2.999143102,11,4.71293916,37.76844888,33.3092351,43.60989026,71.62229706,8.659471041,6.277895746,8.375563524,3.616219645,25,26.78571429,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F1_04","F1","4","4","4","3","2","5",29,0.031933347,"female",2.44,9,3.68852459,14,5.737704918,40.21778936,42.56744609,20.31038313,23.13006432,3.844793169,3.080209469,3.858211057,3.131799822,43.84890188,43.25335931,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F2_01","F2","2","4","4","4","4","4",6,0.010929073,"female",1.859,8,4.303388919,9,4.841312534,38.21453939,38.79747529,31.92768881,122.7627768,5.912391344,6.155674739,3.556942223,2.37053868,36.00048936,33.55105217,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F2_02","F2","2","4","5","4","5","4",5,0.008914872,"female",2.157,9,4.172461752,12,5.563282337,35.03006261,25.21337175,16.39925948,107.6107654,3.132377004,6.213489179,2.66549139,4.068517495,17.9,20,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F2_03","F2","2","4","4","4","4","4",19,0.019875982,"female",2.442,13,5.323505324,14,5.733005733,46.12197504,45.42001841,34.74998455,77.85280279,6.450235018,4.79569192,3.00269483,3.502846389,28.65851227,28.74559597,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F2_04","F2","3","4","4","4","3","3",9,0.012412881,"female",1.686,4,2.372479241,7,4.151838671,63.83082417,60.45760918,11.60839319,17.57420828,2.170286054,1.611061529,2.105232113,1.584072375,65.15490166,71.07137045,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F3_01","F3","3","4","4","4","2","6",7,0.011230533,"female",1.898,7,3.688092729,13,6.849315068,41.01049804,41.09299051,24.19770873,89.20663859,4.494081488,6.096944375,3.663807078,6.045156283,45.6289037,42.86599228,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
1269,"F3_02","F3","4","4","4","4","4","6",25,0.026941786,"female",2.276,11,4.833040422,13,5.711775044,53.10342967,51.71932502,18.71746932,59.73231273,3.356688707,3.789774027,3.336739058,3.570296863,58.04491714,58.27806392,"1997","Other","Male","0","Undergraduate degree","Yes","Yes","The payment was fair","An average experiment"
